Date,PREC (in),Median PREC (in),SNWD (in),TAVG (degF),WTEQ (in),Median WTEQ (in)
6/6/2024,31,35.6,0,57.7,0,0
6/7/2024,31,35.6,0,56.7,0,0
6/8/2024,31,35.6,0,55,0,0
6/9/2024,31,35.6,0,52.5,0,0
6/10/2024,31,35.6,0,56.1,0,0
6/11/2024,31,35.6,0,59.2,0,0
6/12/2024,31,35.6,0,59.2,0,0
6/13/2024,31,35.6,0,56.7,0,0
6/14/2024,31,35.6,0,53.6,0,0
6/15/2024,31,35.6,0,52.9,0,0
6/16/2024,31,35.6,0,48.2,0,0
6/17/2024,31,35.6,0,43.7,0,0
6/18/2024,31,35.6,0,44.1,0,0
6/19/2024,31,35.6,0,48.4,0,0
6/20/2024,31,35.6,0,51.8,0,0
6/21/2024,31,35.6,0,57.6,0,0
6/22/2024,31,35.6,0,61.7,0,0
6/23/2024,31,35.6,0,61.9,0,0
6/24/2024,31,35.8,0,61.7,0,0
6/25/2024,31,35.8,0,61.3,0,0
6/26/2024,31,35.8,0,58.5,0,0
6/27/2024,31,35.8,0,57.2,0,0
6/28/2024,31,35.8,0,56.1,0,0
6/29/2024,31.1,35.8,0,55.6,0,0
6/30/2024,31.1,35.8,0,54.7,0,0
7/1/2024,31.1,35.8,0,57,0,0
7/2/2024,31.1,35.8,0,60.6,0,0
7/3/2024,31.1,35.8,0,61.9,0,0
7/4/2024,31.1,35.8,0,62.4,0,0
7/5/2024,31.1,35.8,0,64.9,0,0
7/6/2024,31.1,35.8,0,65.3,0,0
7/7/2024,31.1,35.8,0,65.7,0,0
7/8/2024,31.1,35.8,0,65.1,0,0
7/9/2024,31.1,35.8,0,64.8,0,0
7/10/2024,31.1,35.8,0,66.4,0,0
7/11/2024,31.1,35.8,0,68.2,0,0
7/12/2024,31.1,35.8,0,64,0,0
7/13/2024,31.2,35.8,0,60.1,0,0
7/14/2024,31.2,35.8,0,57.6,0,0
7/15/2024,31.2,35.8,0,55.9,0,0
7/16/2024,31.2,35.8,0,58.5,0,0
7/17/2024,31.2,35.8,0,57.9,0,0
7/18/2024,31.2,35.8,0,60.8,0,0
7/19/2024,31.2,35.8,0,62.8,0,0
7/20/2024,31.6,35.8,0,60.1,0,0
7/21/2024,31.7,35.8,0,64,0,0
7/22/2024,31.7,35.8,0,64.4,0,0
7/23/2024,31.7,35.8,0,64.4,0,0
7/24/2024,31.8,35.8,0,62.8,0,0
7/25/2024,31.8,36,0,62.2,0,0
7/26/2024,31.8,36,0,59,0,0
7/27/2024,31.9,36,0,53.2,0,0
7/28/2024,31.9,36,0,53.8,0,0
7/29/2024,31.9,36,0,53.4,0,0
7/30/2024,31.9,36,0,55,0,0
7/31/2024,31.9,36,0,60.3,0,0
8/1/2024,31.9,36,0,62.1,0,0
8/2/2024,31.9,36,0,59.5,0,0
8/3/2024,32,36,0,57.6,0,0
